dataset,horizon,model,seed,mse,mae,run_id,name,model_type
ILI,48,FRWKV,2033,1.865226,0.825029,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl48_seed2033,frwkv
ILI,48,FRWKV,2034,1.887553,0.829099,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl48_seed2034,frwkv
ILI,48,FRWKV,2035,1.774357,0.806482,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl48_seed2035,frwkv
ILI,48,FRWKV,2036,1.854974,0.817352,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl48_seed2036,frwkv
ILI,48,FRWKV,2037,1.827585,0.801393,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl48_seed2037,frwkv
ILI,48,FRWKV,2038,1.87744,0.826934,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl48_seed2038,frwkv
ILI,48,FRWKV,2039,1.871276,0.832817,parallel_run_20260503_131828,kbs_fullabl16_frwkv_ili_pl48_seed2039,frwkv
ILI,48,FullContextDelta,2024,1.867416,0.829057,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl48_seed2024,frwkv_crossbranchphasegate_fullcontextdelta
ILI,48,FullContextDelta,2025,1.846505,0.817727,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl48_seed2025,frwkv_crossbranchphasegate_fullcontextdelta
ILI,48,FullContextDelta,2026,1.815185,0.809469,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl48_seed2026,frwkv_crossbranchphasegate_fullcontextdelta
ILI,48,FullContextDelta,2027,1.798055,0.811163,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl48_seed2027,frwkv_crossbranchphasegate_fullcontextdelta
ILI,48,FullContextDelta,2028,1.826804,0.813288,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl48_seed2028,frwkv_crossbranchphasegate_fullcontextdelta
ILI,48,FullContextDelta,2029,1.780247,0.801989,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl48_seed2029,frwkv_crossbranchphasegate_fullcontextdelta
ILI,48,FullContextDelta,2030,1.797765,0.797004,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl48_seed2030,frwkv_crossbranchphasegate_fullcontextdelta
ILI,48,FullContextDelta,2031,1.894545,0.828955,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl48_seed2031,frwkv_crossbranchphasegate_fullcontextdelta
ILI,48,FullContextDelta,2032,1.839717,0.824386,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl48_seed2032,frwkv_crossbranchphasegate_fullcontextdelta
ILI,48,FullContextDelta,2033,1.882804,0.822546,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl48_seed2033,frwkv_crossbranchphasegate_fullcontextdelta
ILI,48,FullContextDelta,2034,1.80179,0.81738,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl48_seed2034,frwkv_crossbranchphasegate_fullcontextdelta
ILI,48,FullContextDelta,2035,1.832985,0.807552,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl48_seed2035,frwkv_crossbranchphasegate_fullcontextdelta
ILI,48,FullContextDelta,2036,1.889564,0.823192,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl48_seed2036,frwkv_crossbranchphasegate_fullcontextdelta
ILI,48,FullContextDelta,2037,1.811766,0.803291,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl48_seed2037,frwkv_crossbranchphasegate_fullcontextdelta
ILI,48,FullContextDelta,2038,1.862493,0.816063,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl48_seed2038,frwkv_crossbranchphasegate_fullcontextdelta
ILI,48,FullContextDelta,2039,1.885455,0.828436,parallel_run_20260508_212616,kbs_fullctxdelta16_fullctxdelta_ili_pl48_seed2039,frwkv_crossbranchphasegate_fullcontextdelta
ILI,60,Adaptive PhaseGate,2024,1.621008,0.786949,parallel_run_20260509_134027,kbs_adaptive16_ili_pl60_seed2024,frwkv_crossbranchperiodicpositiongate_adaptive
ILI,60,Adaptive PhaseGate,2025,1.702817,0.802537,parallel_run_20260509_134027,kbs_adaptive16_ili_pl60_seed2025,frwkv_crossbranchperiodicpositiongate_adaptive
ILI,60,Adaptive PhaseGate,2026,1.625586,0.780014,parallel_run_20260509_134027,kbs_adaptive16_ili_pl60_seed2026,frwkv_crossbranchperiodicpositiongate_adaptive
ILI,60,Adaptive PhaseGate,2027,1.704399,0.808913,parallel_run_20260509_134027,kbs_adaptive16_ili_pl60_seed2027,frwkv_crossbranchperiodicpositiongate_adaptive
ILI,60,Adaptive PhaseGate,2028,1.693855,0.805662,parallel_run_20260509_134027,kbs_adaptive16_ili_pl60_seed2028,frwkv_crossbranchperiodicpositiongate_adaptive
ILI,60,Adaptive PhaseGate,2029,1.651487,0.792349,parallel_run_20260509_134027,kbs_adaptive16_ili_pl60_seed2029,frwkv_crossbranchperiodicpositiongate_adaptive
ILI,60,Adaptive PhaseGate,2030,1.621823,0.781399,parallel_run_20260509_134027,kbs_adaptive16_ili_pl60_seed2030,frwkv_crossbranchperiodicpositiongate_adaptive
ILI,60,Adaptive PhaseGate,2031,1.672992,0.796836,parallel_run_20260509_134027,kbs_adaptive16_ili_pl60_seed2031,frwkv_crossbranchperiodicpositiongate_adaptive
ILI,60,Adaptive PhaseGate,2032,1.668652,0.794528,parallel_run_20260509_134027,kbs_adaptive16_ili_pl60_seed2032,frwkv_crossbranchperiodicpositiongate_adaptive
