dataset,horizon,model,display_label,seed,mse,mae,run_id,source_file,source_kind,model_type,model_tag,config_name,selection_rule,candidate_count
ETTm2,192,FRWKV,FRWKV,2032,0.234651,0.291304,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_ettm2_pl192_seed2032.json,status_json,frwkv,kbs_fullabl16_frwkv_ettm2_pl192_seed2032,,best_single_run_by_mse_then_mae,32
ETTm2,192,CrossBranchGate,CrossBranchGate,2028,0.234504,0.291617,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_ettm2_pl192_seed2028.json,status_json,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_ettm2_pl192_seed2028,,best_single_run_by_mse_then_mae,32
ETTm2,192,CrossBranchPhaseGate,CrossBranchPhaseGate,2036,0.234149,0.291112,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchphasegate_ettm2_pl192_seed2036.json,status_json,frwkv_crossbranchphasegate,kbs_fullabl16_crossbranchphasegate_ettm2_pl192_seed2036,,best_single_run_by_mse_then_mae,32
ETTm2,336,Ours(selected),Ours(selected),2025,0.291799,0.328495,parallel_run_20260416_224740,experiment_runner/parallel_run_20260416_224740/status/kbs_adaptive_ms_ettm2_pl336_seed2025_es16.json,selected_system_audit,frwkv_crossbranchphasegate_adaptive,kbs_adaptive_ms_ettm2_pl336_seed2025_es16,,selected_system_audit_exact,1
ETTm2,336,FRWKV,FRWKV,2036,0.291290,0.328843,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_ettm2_pl336_seed2036.json,status_json,frwkv,kbs_fullabl16_frwkv_ettm2_pl336_seed2036,,best_single_run_by_mse_then_mae,32
ETTm2,336,CrossBranchGate,CrossBranchGate,2036,0.292056,0.329219,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_ettm2_pl336_seed2036.json,status_json,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_ettm2_pl336_seed2036,,best_single_run_by_mse_then_mae,32
ETTm2,336,CrossBranchPhaseGate,CrossBranchPhaseGate,2033,0.292038,0.329016,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchphasegate_ettm2_pl336_seed2033.json,status_json,frwkv_crossbranchphasegate,kbs_fullabl16_crossbranchphasegate_ettm2_pl336_seed2033,,best_single_run_by_mse_then_mae,32
ETTm2,720,Ours(selected),Ours(selected),2026,0.389563,0.387606,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_ettm2_pl720_seed2026.json,selected_system_audit,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_ettm2_pl720_seed2026,,selected_system_audit_exact,1
ETTm2,720,FRWKV,FRWKV,2031,0.390068,0.387438,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_frwkv_ettm2_pl720_seed2031.json,status_json,frwkv,kbs_fullabl16_frwkv_ettm2_pl720_seed2031,,best_single_run_by_mse_then_mae,32
ETTm2,720,CrossBranchGate,CrossBranchGate,2026,0.389563,0.387606,parallel_run_20260503_131828,experiment_runner/parallel_run_20260503_131828/status/kbs_fullabl16_crossbranchgate_ettm2_pl720_seed2026.json,status_json,frwkv_crossbranchgate,kbs_fullabl16_crossbranchgate_ettm2_pl720_seed2026,,best_single_run_by_mse_then_mae,32
